file	theorem	proof_deps	resolved_deps	missing_deps	oracles	has_skip_proof
GeoTopBase0_geotop_subdivision_of_finite_is_finite.p	GeoTopBase0.geotop_subdivision_of_finite_is_finite	92	92	0	0	false
GeoTopBase0_geotop_overlay_complex_is_cell_complex.p	GeoTopBase0.geotop_overlay_complex_is_cell_complex	33	33	0	0	false
GeoTopBase0_geotop_order_complex_polyhedron_supset.p	GeoTopBase0.geotop_order_complex_polyhedron_supset	38	38	0	0	false
GeoTopBase0_geotop_order_complex_polyhedron_subset.p	GeoTopBase0.geotop_order_complex_polyhedron_subset	25	25	0	0	false
GeoTopBase0_geotop_linear_inj_image_preserves_face.p	GeoTopBase0.geotop_linear_inj_image_preserves_face	118	118	0	0	false
GeoTopBase0_geotop_euclidean_topology_eq_open_sets.p	GeoTopBase0.geotop_euclidean_topology_eq_open_sets	70	70	0	0	false
GeoTopBase0_geotop_complex_vertices_eq_0_simplexes.p	GeoTopBase0.geotop_complex_vertices_eq_0_simplexes	102	102	0	0	false
GeoTopBase0_geotop_complex_rel_interior_imp_subset.p	GeoTopBase0.geotop_complex_rel_interior_imp_subset	33	33	0	0	false
GeoTopBase0_geotop_complex_flags_at_simplex_finite.p	GeoTopBase0.geotop_complex_flags_at_simplex_finite	181	181	0	0	false
GeoTopBase0_geotop_cell_barycenter_in_rel_interior.p	GeoTopBase0.geotop_cell_barycenter_in_rel_interior	29	29	0	0	false
GeoTopBase_top1_connected_complement_of_geotop_arc.p	GeoTopBase.top1_connected_complement_of_geotop_arc	48	48	0	0	false
GeoTopBase_path_avoid_hyperplane_constant_sign_pos.p	GeoTopBase.path_avoid_hyperplane_constant_sign_pos	197	197	0	0	false
GeoTopBase_geotop_subdivide_edge_sigma_cap_e_cases.p	GeoTopBase.geotop_subdivide_edge_sigma_cap_e_cases	245	245	0	0	false
GeoTopBase_geotop_inner_diff_inj_on_closed_segment.p	GeoTopBase.geotop_inner_diff_inj_on_closed_segment	324	324	0	0	false
GeoTopBase_geotop_arc_preimage_simplex_is_interval.p	GeoTopBase.geotop_arc_preimage_simplex_is_interval	49	49	0	0	false
GeoTopBase_geotop_AI_finite_ne_is_simplex_vertices.p	GeoTopBase.geotop_AI_finite_ne_is_simplex_vertices	61	61	0	0	false
GeoTop_Prefix_theta_graph_has_unbounded_component.p	GeoTop_Prefix.theta_graph_has_unbounded_component	34	34	0	0	false
GeoTop_Prefix_geotop_polygon_finite_triangulation.p	GeoTop_Prefix.geotop_polygon_finite_triangulation	81	81	0	0	false
GeoTop_Prefix_broken_line_local_simplex_isolation.p	GeoTop_Prefix.broken_line_local_simplex_isolation	80	80	0	0	false
GeoTopBase0_geotop_mesh_iterated_Sd_tends_to_zero.p	GeoTopBase0.geotop_mesh_iterated_Sd_tends_to_zero	251	251	0	0	false
GeoTopBase0_geotop_linear_inj_image_face_preimage.p	GeoTopBase0.geotop_linear_inj_image_face_preimage	123	123	0	0	false
GeoTopBase0_geotop_general_position_imp_aff_indep.p	GeoTopBase0.geotop_general_position_imp_aff_indep	235	235	0	0	false
GeoTopBase0_geotop_complex_proper_subset_dim_less.p	GeoTopBase0.geotop_complex_proper_subset_dim_less	206	206	0	0	false
GeoTopBase0_geotop_complex_chain_barycenter_bound.p	GeoTopBase0.geotop_complex_chain_barycenter_bound	50	50	0	0	false
GeoTopBase0_geotop_K_carrier_self_in_rel_interior.p	GeoTopBase0.geotop_K_carrier_self_in_rel_interior	3	3	0	0	false
GeoTopBase_top1_connected_on_geotop_iff_connected.p	GeoTopBase.top1_connected_on_geotop_iff_connected	14	14	0	0	false
GeoTopBase_geotop_open_ball_broken_line_connected.p	GeoTopBase.geotop_open_ball_broken_line_connected	32	32	0	0	false
GeoTopBase_geotop_inner_diff_image_closed_segment.p	GeoTopBase.geotop_inner_diff_image_closed_segment	375	375	0	0	false
GeoTopBase_geotop_hyperplane_dim_1_R2_normal_form.p	GeoTopBase.geotop_hyperplane_dim_1_R2_normal_form	60	60	0	0	false
GeoTopBase_geotop_homeomorphism_segment_endpoints.p	GeoTopBase.geotop_homeomorphism_segment_endpoints	241	241	0	0	false
GeoTopBase_geotop_complex_subdivide_edge_interior.p	GeoTopBase.geotop_complex_subdivide_edge_interior	111	111	0	0	false
GeoTopBase_geotop_complex_restrict_preserves_1dim.p	GeoTopBase.geotop_complex_restrict_preserves_1dim	25	25	0	0	false
GeoTopBase_geotop_closed_segment_simplex_vertices.p	GeoTopBase.geotop_closed_segment_simplex_vertices	64	64	0	0	false
GeoTopBase_geotop_closed_segment_is_face_endpoint.p	GeoTopBase.geotop_closed_segment_is_face_endpoint	48	48	0	0	false
